é–âÔìIäOåê´,äàìÆê´,ã§ä¥ê´,êiéÊê´,éùãvê´,ãKó•ê´,ãïç\ê´,é©å»äJé¶ê´,çUåÇê´,îÒã¶í≤ê´,óÚìôä¥,ê_åoéø,ó}üTê´
12,  8,  7, 12,  6, 11,  0,  8, 13,  5, 12, 16, 14
17, 16, 16, 14, 14, 10,  4,  4, 14,  6, 12,  4, 12
15,  5, 17,  5, 14, 13,  9,  9,  3,  7, 14, 13, 12
18, 19, 15, 16, 12,  2,  0, 18, 14,  6,  7, 17, 12
20, 14,  8, 14, 16,  6,  6, 12,  4,  4,  4,  0,  2
15, 15, 18,  7, 19, 13,  8,  9,  4,  3,  6, 11,  2
18, 14, 15, 16, 16, 14,  3,  8,  5,  4,  9,  6,  4
 8,  2, 10, 10, 11, 13,  8, 10, 16,  5, 17, 19, 16
16,  6, 12,  7, 14, 10,  1, 15, 12,  7, 15, 13, 13
14, 13, 14,  8, 10,  8,  2, 10, 10,  8,  6, 10,  5
11,  6, 11, 17, 15, 13,  7, 13, 12,  4,  8,  2,  7
 8,  2,  7, 18,  2,  2,  2, 10, 12,  7, 11,  6, 14
10,  4, 10, 14,  0,  6,  4, 14, 14,  6, 18, 20, 14
12,  9, 13, 10, 10, 12,  2,  6,  3,  5, 14, 18, 10
11,  6, 15,  4, 12,  6,  2,  9,  9,  2, 15, 17, 17
14, 15, 15,  8, 15, 14,  3,  9, 18,  9, 12, 18, 14
 8, 10,  8,  8, 12,  8,  1,  9,  2,  0, 10,  4,  5
14,  6, 10,  5, 16,  9,  6,  6,  7,  2,  0,  8,  2
17,  4,  7, 17,  2,  2,  4, 15, 10,  2,  7,  2,  8
16, 19,  7, 15,  6, 10,  1, 19, 12, 13,  0,  6,  6
16,  9, 14, 14,  8,  6,  6,  7,  5,  5,  3,  0, 10
 0,  6, 13,  3, 14,  6, 10,  8,  2,  8, 10,  2,  6
 6,  8, 13, 17,  2,  7,  0, 11, 17,  6, 15,  8, 10
10,  1, 15, 12, 13, 11,  0, 15,  5,  6, 14, 10,  5
10,  8, 16, 18, 12, 12,  6,  8,  8,  4,  6, 18, 10
12,  1, 10,  6, 12, 14,  2, 13,  7,  7, 16, 15, 10
 9, 11, 11, 12,  4,  5,  0, 18, 13,  9, 15, 16, 16
 5,  3, 14, 15,  1,  2,  3, 17,  9,  8, 16, 10, 14
11,  4,  5, 15, 12,  0,  7, 13, 12, 10,  2,  6, 13
 4,  6, 16, 12, 16,  8,  0,  6, 10,  0, 18, 18, 18
18, 13, 11, 13,  9, 11,  3, 15, 18,  8, 11, 13, 17
 3,  7, 11, 14,  7,  7,  2, 14,  7, 14, 13, 18, 18
20, 12, 14, 14, 18, 12, 14, 10,  6,  4,  3, 11, 10
18,  8, 15,  9, 13,  4,  0, 12,  7,  2,  6, 20, 18
 4,  0,  6,  0,  2,  9,  4,  2,  0,  5,  8, 10,  8
10,  4,  8, 10,  6,  3,  0, 14, 18, 10, 14, 13,  5
14,  8,  4, 10, 16,  4,  0, 10, 18,  4, 10,  8,  6
 8,  9, 14, 11,  0,  5,  1, 15, 11, 11, 19, 16, 17
 4,  2, 10,  4,  8,  2,  2,  6,  4, 14, 16, 16, 14
18, 12, 19, 11, 20, 14, 12,  4,  7,  3, 11, 18, 10
16, 13,  6, 13,  1,  4,  8, 11,  8,  4,  7,  9,  9
13, 10, 13, 15, 13, 10,  9,  3, 11,  1, 13,  6,  9
 2,  4, 15,  4, 14,  2,  5,  3,  4,  9,  8, 16, 10
 5,  7,  8, 14,  3,  6,  4, 12, 10,  6,  3, 20, 15
11,  9, 13,  8, 12, 18,  2, 16,  9,  1,  9, 16, 10
17,  8, 13,  9, 13,  4,  2,  8,  6,  2,  3,  4,  9
12,  9, 16, 10, 14, 12,  6, 10, 12,  4,  7, 13, 11
 8, 11,  8,  5, 15, 10,  2, 10, 14,  4,  5,  1,  7
14, 18, 14, 14, 16,  8,  0, 10, 14,  2,  2,  2,  6
10,  0,  4,  6, 14,  2,  2,  8,  0,  1, 16, 16, 14
 6,  9, 10, 11,  4,  2,  1,  7, 12,  8, 15, 18, 20
19,  6, 20,  0, 13, 16,  5, 10,  2,  0,  8, 13,  7
